Region,ABM-11-M,ABM-11-F,HUMSS-11-M,HUMSS-11-F,STEM-11-M,STEM-11-F,GAS-11-M,GAS-11-F,MARITIME-11-M,MARITIME-11-F,TVL-11-M,TVL-11-F,Sports-11-M,Sports-11-F,Arts&Design-11-M,Arts&Design-11-F,ABM-12-M,ABM-12-F,HUMSS-12-M,HUMSS-12-F,STEM-12-M,STEM-12-F,GAS-12-M,GAS-12-F,MARITIME-12-M,MARITIME-12-F,TVL-12-M,TVL-12-F,Sports-12-M,Sports-12-F,Arts&Design-12-M,Arts&Design-12-F,Sector,A.Y,Academic Track 11 M,Academic Track 11 F,Grand Total 11 M,Grand Total 11 F,Academic Track 12 M,Academic Track 12 F,Grand Total 12 M,Grand Total 12 F
CARAGA - CARAGA,462,1131,1486,2010,978,1073,945,789,136,11,1813,1331,0,0,6,9,484,1247,1089,1607,812,936,823,822,125,2,1669,1310,0,0,6,10,Private,2019-2020,4007,5014,5826,6354,3333,4614,5008,5934
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,305,406,1515,1742,599,1066,1093,1597,0,0,764,777,0,0,0,0,282,402,1030,1257,568,974,1079,1586,0,0,639,682,0,0,0,0,Private,2019-2020,3512,4811,4276,5588,2959,4219,3598,4901
CAR - Cordillera Administrative Region,431,1032,2249,2585,2106,2707,427,383,0,0,1347,840,30,6,13,21,528,1326,1882,2297,2013,2288,427,438,0,0,1311,949,13,9,18,27,Private,2019-2020,5213,6707,6603,7574,4850,6349,6192,7334
NCR - National Capital Region,12420,22686,15147,19038,21106,17711,6306,5928,389,12,19057,15084,255,128,626,1042,11982,22680,10197,14032,18754,15020,6016,5712,412,23,18095,14795,159,120,535,918,Private,2019-2020,55368,65375,75306,81629,47361,57467,66150,73300
Region I - Ilocos Region,38,110,121,193,175,278,12,19,0,0,190,217,0,0,12,12,48,135,137,171,213,335,30,25,0,0,248,215,0,0,8,11,SUCsLUCs,2019-2020,346,600,548,829,428,666,684,892
Region II - Cagayan Valley,0,0,0,0,103,184,0,0,0,0,37,24,0,0,0,0,0,0,0,0,25,48,0,0,0,0,31,43,0,0,0,0,SUCsLUCs,2019-2020,103,184,140,208,25,48,56,91
Region III - Central Luzon,210,520,293,506,533,515,155,164,0,0,502,380,0,0,0,0,141,387,159,293,425,361,83,160,0,0,477,376,5,5,0,0,SUCsLUCs,2019-2020,1191,1705,1693,2085,808,1201,1290,1582
Region IV-A - CALABARZON,182,451,289,525,858,748,15,32,0,0,279,150,0,0,0,0,127,442,236,461,656,640,30,12,0,0,298,182,0,0,0,0,SUCsLUCs,2019-2020,1344,1756,1623,1906,1049,1555,1347,1737
Region IV-B - MIMAROPA,129,371,157,323,309,382,51,67,0,0,341,262,0,0,0,0,130,380,174,381,285,337,53,68,0,0,419,360,0,0,0,0,SUCsLUCs,2019-2020,646,1143,987,1405,642,1166,1061,1526
Region V - Bicol Region,33,80,112,173,150,174,58,94,0,0,194,80,0,0,0,0,54,147,97,163,168,197,34,80,0,0,188,93,0,0,0,0,SUCsLUCs,2019-2020,353,521,547,601,353,587,541,680
